symbol,sector,listing_date
SYNGENE,Healthcare,2015-08-11
SYRMA,Capital Goods,2022-08-26
TARIL,Capital Goods,2007-12-28
TATACAP,Financial Services,2025-10-13
TATACHEM,Chemicals,1999-04-01
TATACOMM,Telecommunication,1995-04-12
TATACONSUM,Fast Moving Consumer Goods,1998-11-18
TATAELXSI,Information Technology,2003-09-17
TATAINVEST,Financial Services,1998-06-24
TATAPOWER,Power,1996-04-03
TATASTEEL,Metals & Mining,1998-11-18
TATATECH,Information Technology,2023-11-30
TBOTEK,Consumer Services,2024-05-15
TCS,Information Technology,2004-08-25
TECHM,Information Technology,2006-08-28
TECHNOE,Construction,2018-12-04
TEGA,Capital Goods,2021-12-13
TEJASNET,Telecommunication,2017-06-27
TENNIND,Automobile and Auto Components,2025-11-19
THELEELA,Consumer Services,2025-06-02
THERMAX,Capital Goods,1995-08-30
TIINDIA,Automobile and Auto Components,2017-11-02
TIMKEN,Capital Goods,2007-02-06
TITAGARH,Capital Goods,2008-04-21
TITAN,Consumer Durables,2004-09-24
TMCV,Capital Goods,2025-11-12
TMPV,Automobile and Auto Components,1998-07-22
TORNTPHARM,Healthcare,2002-11-25
TORNTPOWER,Power,2006-11-28
TRAVELFOOD,Consumer Services,2025-07-14
TRENT,Consumer Services,2004-06-07
TRIDENT,Textiles,2001-02-21
TRITURBINE,Capital Goods,2011-10-28
TTML,Telecommunication,2000-10-20
TVSMOTOR,Automobile and Auto Components,2000-08-02
UBL,Fast Moving Consumer Goods,2008-07-28
UCOBANK,Financial Services,2003-10-09
ULTRACEMCO,Construction Materials,2004-08-24
UNIONBANK,Financial Services,2002-09-24
UNITDSPR,Fast Moving Consumer Goods,2001-09-27
UNOMINDA,Automobile and Auto Components,2007-02-02
UPL,Chemicals,2004-01-23
URBANCO,Consumer Services,2025-09-17
USHAMART,Capital Goods,2000-10-11
UTIAMC,Financial Services,2020-10-12
VBL,Fast Moving Consumer Goods,2016-11-08
VEDL,Metals & Mining,1998-05-13
VIJAYA,Healthcare,2021-09-14
VMM,Consumer Services,2024-12-18
VOLTAS,Consumer Durables,1995-04-12
VTL,Textiles,2003-01-14
WAAREEENER,Capital Goods,2024-10-28
WELCORP,Capital Goods,2005-05-24
WELSPUNLIV,Textiles,2003-12-04
WHIRLPOOL,Consumer Durables,2010-04-06
WIPRO,Information Technology,1995-11-08
WOCKPHARMA,Healthcare,2000-02-23
YESBANK,Financial Services,2005-07-12
ZEEL,Media Entertainment & Publication,1998-09-09
ZENSARTECH,Information Technology,2003-07-09
ZENTEC,Capital Goods,2015-03-30
ZFCVINDIA,Automobile and Auto Components,2008-10-01
ZYDUSLIFE,Healthcare,2000-04-18
ZYDUSWELL,Fast Moving Consumer Goods,2009-11-13
